MA	0.0282	(0.0000)
NY	0.0250	(0.0000)
TN	0.0248	(0.0000)
PA	0.0234	(0.0000)
ID	0.0234	(0.0000)
AR	0.0227	(0.0000)
MO	0.0226	(0.0000)
KY	0.0220	(0.0000)
OK	0.0213	(0.0000)
GA	0.0212	(0.0000)
VA	0.0209	(0.0000)
NV	0.0208	(0.0000)
TX	0.0202	(0.0000)
NH	0.0201	(0.0000)
MD	0.0190	(0.0000)
UT	0.0185	(0.0000)
OR	0.0180	(0.0000)
WY	0.0180	(0.0000)
CO	0.0180	(0.0000)
NB	0.0178	(0.0000)
SD	0.0178	(0.0000)
VT	0.0177	(0.0000)
OH	0.0177	(0.0000)
CT	0.0173	(0.0000)
IA	0.0173	(0.0000)
AZ	0.0170	(0.0000)
AL	0.0170	(0.0000)
IL	0.0168	(0.0000)
NM	0.0164	(0.0000)
NC	0.0164	(0.0000)
MS	0.0163	(0.0000)
IN	0.0149	(0.0000)
WI	0.0148	(0.0000)
MT	0.0146	(0.0000)
NJ	0.0143	(0.0000)
MN	0.0143	(0.0000)
CA	0.0139	(0.0000)
LA	0.0139	(0.0000)
DE	0.0136	(0.0000)
RI	0.0126	(0.0000)
MI	0.0123	(0.0000)
WV	0.0122	(0.0000)
ND	0.0116	(0.0000)
KS	0.0113	(0.0000)
FL	0.0102	(0.0000)
WA	0.0101	(0.0000)
SC	0.0100	(0.0000)
DC	0.0091	(0.0000)
MV	0.0088	(0.0000)
ME	0.0086	(0.0000)
NE	0.0029	(0.0000)
