dataset,edge_count,execution_seconds
amazon0505,3356828,40.117672
dolphins,318,0.005594000000000002
karate,156,0.004950999999999997
lesmis,508,0.005074999999999996
NCAA_football,1537,0.0063620000000000065
p2p-Gnutella05,31843,0.017859999999999987
polblogs,19090,0.04911300000000002
soc-LiveJournal1,68993777,1193.963033
soc-sign-Slashdot081106,516579,2.74611
stateborders,214,0.004391999999999993
wiki-Vote,103693,0.0008930000000000327
