0 0 0 144 33 7 90 130 22 148
0 0 0 172 11 29 90 90 89 103
0 0 0 167 33 10 90 200 89 40
0 0 0 189 22 5 90 50 31 54
0 0 0 183 -6 7 140 120 36 54
0 0 0 189 11 10 120 100 45 58
0 0 0 200 22 10 120 180 40 72
0 0 0 211 33 5 140 80 36 67
0 0 0 161 33 4 90 130 58 58
0 0 0 200 11 9 140 230 45 58
0 0 0 222 33 9 130 220 40 72
23 0 0 189 44 24 210 300 58 80
124 0 0 161 89 32 290 100 67 89
0 0 0 156 44 24 120 110 72 40
0 0 0 150 33 4 110 210 36 76
0 0 0 167 44 15 220 140 63 72
28 0 0 122 56 17 310 200 54 201
140 0 0 144 83 57 210 160 156 201
208 0 0 128 78 44 170 160 148 264
325 0 0 122 61 65 160 210 206 174
163 0 0 122 61 37 210 10 112 89
66 0 0 78 22 22 240 250 58 89
0 0 0 128 22 8 330 90 36 76
0 0 0 111 6 5 90 90 31 67
0 0 0 133 33 19 250 40 72 80
53 0 0 117 83 16 70 230 45 103
0 0 0 150 67 9 90 0 58 0
0 0 0 172 33 8 90 0 40 0
0 0 0 167 44 19 240 0 80 0
5 0 0 150 83 10 320 0 45 0
0 0 0 144 56 20 90 0 45 0
0 0 0 150 33 6 70 140 22 98
0 0 0 178 61 7 300 130 31 45
0 0 0 161 39 9 120 200 40 45
5 0 0 144 44 36 180 180 94 130
66 0 0 167 94 29 200 210 94 116
112 0 0 133 56 26 280 280 72 89
0 0 0 122 22 24 340 350 72 89
0 0 0 144 61 13 290 200 36 94
28 0 0 117 28 23 240 100 80 36
0 0 0 144 11 9 10 90 40 174
0 0 0 144 39 4 90 100 31 161
0 0 0 178 22 6 110 210 40 125
0 0 0 183 44 26 100 210 67 80
0 0 0 194 50 17 110 320 36 103
0 0 0 178 33 15 100 300 67 103
0 0 0 200 44 18 90 130 72 72
0 0 0 228 44 7 170 100 54 89
0 0 0 194 33 25 210 200 98 116
53 0 0 144 94 19 210 140 63 94
0 0 0 150 78 20 320 210 80 116
5 0 0 128 83 29 330 260 80 134
0 0 0 144 61 21 110 300 63 76
8 0 0 117 28 6 280 0 36 0
30 0 0 178 83 38 210 0 94 0
0 0 0 172 83 24 90 0 58 0
